uid,taxid,project_id,project_acc,project_type,project_data_type,sort_by_projecttype,sort_by_datatype,sort_by_organism,project_subtype,project_target_scope,project_target_material,project_target_capture,project_methodtype,project_method,project_objectives_list,registration_date,project_name,project_title,project_description,keyword,relevance_agricultural,relevance_medical,relevance_industrial,relevance_environmental,relevance_evolution,relevance_model,relevance_other,organism_name,organism_strain,organism_label,sequencing_status,submitter_organization,submitter_organization_list,supergroup
471454,NA,471454,PRJEB24989,Primary submission,Other,97945,113011,365963,NA,Monoisolate,Genome,Whole,Sequencing,NA,"Other, Unspecified Objective",2018/05/15 00:00,bacterial communities of drinking water,Study of bacterial communities in drinking water by High Throughput Sequencing,"BackgroundThe microbiological water quality of drinking water distribution system (DWDS) is of primary importance for human health. High throughput sequencing have gained more and more attention in the last decade to describe the microbial diversity in water. There are however few studies describing this approach on large drinking water distribution systems and for long periods of time. To fill this gap, we aimed to apply a high throughput sequencing of the 16S rRNA gene approach to characterize bacterial communities of the Paris' DWDS over a one year period.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SRA/Trace,Universite de Poitiers,Universite de Poitiers,NA
445682,449393,445682,PRJNA445682,Primary submission,Raw sequence reads,121278,131026,82816,NA,Environment,Genome,Whole,Sequencing,NA,"Raw Sequence Reads,",2018/03/26 00:00,Chloraminated drinking water distribution system,Chloraminated drinking water distribution system Raw sequence reads,Chloraminated drinking water distribution system Raw sequence reads,NA,NA,NA,NA,yes,NA,NA,NA,freshwater metagenome,NA,NA,SRA/Trace,University of Pretoria,University of Pretoria,Other
433427,718308,433427,PRJNA433427,Primary submission,Raw sequence reads,131938,141332,27192,NA,Environment,Genome,Whole,Sequencing,NA,"Raw Sequence Reads,",2018/02/07 00:00,biofilm metagenome,Drinking water 16S rRNA gene raw sequence reads,"Water-main biofilms, tap water, and corrosion-associated communities were collected from a chloraminated drinking water distribution system (DWDS) in the United States and a DWDS in Norway that does not maintain a residual disinfectant. Bacterial 16S rRNA genes were sequenced with paired-end Illumina MiSeq to provide taxonomic and ecological information from the samples. There is interest in characterizing the organisms throughout full-scale DWDSs to identify dominant taxa as well as potential nuisance organisms (e.g., waterborne pathogens, organisms associated with microbiologically influenced corrosion of water mains). Additionally, by comparing different DWDSs, it may be possible to infer relationships between operation or water quality and the microbiome.",NA,NA,NA,NA,yes,NA,NA,NA,biofilm metagenome,NA,NA,SRA/Trace,University of Minnesota,University of Minnesota,Other
395557,449393,395557,PRJNA395557,Primary submission,Raw sequence reads,164817,171731,83047,NA,Environment,Genome,Whole,Sequencing,NA,"Raw Sequence Reads,",2017/07/24 00:00,freshwater metagenome,Bacterial dynamics within a drinking water distribution system,Investigation of microbial dynamics within a full-scale drinking water distribution network using a novel micPCR/NGS monitoring approach.,NA,NA,NA,NA,yes,NA,NA,NA,freshwater metagenome,NA,NA,SRA/Trace,Erasmus Medical Center,Erasmus Medical Center,Other
393048,718308,393048,PRJNA393048,Primary submission,Raw sequence reads,166856,173633,27210,NA,Environment,Genome,Whole,Sequencing,NA,"Raw Sequence Reads,",2017/07/04 00:00,biofilm metagenome,biofilm metagenome Raw sequence reads,"Microbes collected from drinking water distribution system, including water, biofilm and loose deposits.",NA,NA,NA,NA,yes,NA,NA,NA,biofilm metagenome,NA,NA,SRA/Trace,Delft University of Technology,Delft University of Technology,Other
383368,449393,383368,PRJNA383368,Primary submission,Raw sequence reads,174931,181210,83060,NA,Environment,Genome,Whole,Sequencing,NA,"Raw Sequence Reads,",2017/04/18 00:00,freshwater metagenome,drinking water microbiome Raw sequence reads,Drinking water distribution system microbiome (municipal and premise plumbing),NA,NA,NA,NA,yes,NA,NA,NA,freshwater metagenome,NA,NA,SRA/Trace,UIUC,UIUC,Other
315256,1070537,315256,PRJNA315256,Primary submission,Genome sequencing and assembly,234180,237512,27503,NA,Environment,Genome,Whole,Sequencing,NA,"Raw Sequence Reads,",2017/04/10 00:00,biofilter metagenome,Biofilter of household tap filter,"Investigate the microbial community structure in the end of drinking water distribution system, that is, the household tap.",NA,NA,NA,NA,yes,NA,NA,NA,biofilter metagenome,NA,NA,Scaffolds,The University Hong Kong,The University Hong Kong,Other
313955,449393,313955,PRJNA313955,Primary submission,Raw sequence reads,235253,238535,83705,NA,Environment,Genome,Whole,Sequencing,NA,"Raw Sequence Reads,",2016/03/01 00:00,freshwater metagenome,Drinking water Raw sequence reads,The taxonomic structure of bacterial communities in a full-scale water distribution system in North America was assessed via high-throughput sequencing of PCR-amplified 16S rRNA genes. We aimed to assess whether bacterial communities detected in treated water determine community structures in main pipes and premise plumbing.,NA,NA,NA,NA,yes,NA,NA,NA,freshwater metagenome,NA,NA,SRA/Trace,Polytechnique Montreal,Polytechnique Montreal,Other
312232,718308,312232,PRJNA312232,Primary submission,Metagenome,236789,240015,27320,NA,Environment,Genome,Whole,Sequencing,NA,"Sequence,",2016/02/16 00:00,biofilm metagenome,Drinking water distribution system Metagenome,Microbial analysis of in situ biofilm formation in drinking water distribution systems,NA,NA,NA,NA,yes,NA,NA,NA,biofilm metagenome,NA,NA,SRA/Trace,The University of Sheffield,The University of Sheffield,Other
305803,1169740,305803,PRJNA305803,Primary submission,Metagenome,242076,245173,11801,NA,Environment,Genome,Whole,Sequencing,NA,"Sequence,",2015/12/12 00:00,aquatic metagenome,Flushing drinking water pipes Metagenome,Bacterial dynamics and accumulation patterns of material attached to pipe walls within a chlorinated drinking water distribution system,NA,NA,NA,NA,yes,NA,NA,NA,aquatic metagenome,NA,NA,SRA/Trace,The University of Sheffield,"The University of Sheffield, United Utilities Group PLC",Other
301509,1169740,301509,PRJNA301509,Primary submission,Targeted Locus (Loci),245872,94918,11810,NA,Environment,Genome,Targeted Locus/Loci,Sequencing,NA,"Other,",2015/11/08 00:00,aquatic metagenome,Drinking water and biofilm bacterial communities,"This project aims to describe the dynamics of the bacterial communities of a drinking water system. Seasonal samples were taken over 2 years from both water and biofilm at four sampling points of a small drinking water distribution system in Israel. Our objectives were to compare bacterial communities (i) across sampling locations and seasons and (ii) from water and biofilm to determine the influence of environmental factors such as temperature, ph, chlorine or seasonal changes, in the water microbial communities dynamics.",NA,NA,NA,NA,yes,NA,NA,NA,aquatic metagenome,NA,NA,SRA/Trace,University of Haifa,University of Haifa,Other
295772,449393,295772,PRJNA295772,Primary submission,Targeted loci environmental,251014,95058,83739,NA,Environment,Genome,Targeted Locus/Loci,Sequencing,NA,"Other,",2015/09/15 00:00,freshwater metagenome,Microbiomes of the Los Angeles Municipal Drinking Water Distribution System Differ by Source Water Inputs and Regional Storage Strategies,Microbiomes of the Los Angeles Municipal Drinking Water Distribution System were sampled and SSU rRNA genes were sequenced using the Illumina MiSeq platform. Differences were detected between microbiomes in various sub-regions of the system and coincided with source water inputs and regional finished water storage strategies.,NA,NA,NA,NA,yes,NA,NA,NA,freshwater metagenome,NA,NA,SRA/Trace,University of Colorado - Boulder,University of Colorado - Boulder,Other
294421,718308,294421,PRJNA294421,Primary submission,Genome sequencing and assembly,252242,86665,27339,NA,Environment,Genome,Whole,Other,NA,"Other,",2015/09/22 00:00,biofilm metagenome,Chloraminated Drinking Water Distribution System Simulator,"Many US water treatment facilities use chloramination to control disinfectant by-product formation. Chloraminated drinking water distribution systems (DWDS) are engineered environments that are subject to frequent and variable disturbances. While biofilms are ubiquitous in DWDS and difficult to control, very little is understood about temporal changes in their bacterial populations, particularly when subjected to nitrification and chlorine burn treatments. Therefore, it is important to understand the ecology of these environments to better assess potential risks and ultimately to develop guidance for optimization of nitrification control strategies.  For this project we have data from three different sources: 1)      16S-tag data (DNA from environment) 2)      whole shotgun metagenome (DNA from environment) 3)      whole genome (DNA from isolates). Pure cultures isolated from biofilm or bulk water (i.e. inoculum) under different operational conditions",NA,NA,NA,NA,yes,NA,NA,NA,biofilm metagenome,NA,NA,Contigs,US EPA,US EPA,Other
287069,449393,287069,PRJNA287069,Primary submission,Targeted Locus (Loci),258697,95324,83767,NA,Environment,Genome,Targeted Locus/Loci,Sequencing,NA,"Other,",2015/06/16 00:00,freshwater metagenome,Drinking Water Distribution System Bacteria targeted loci 16S,The aim was to characterize bacterial communities throughout two fully functional drinking water distribution systems by targeting the 16S locus.,NA,NA,NA,yes,NA,NA,NA,NA,freshwater metagenome,NA,NA,SRA/Trace,University of Adelaide,University of Adelaide,Other
279206,718308,279206,PRJNA279206,Primary submission,Metagenome,265785,95580,27368,NA,Environment,Genome,Targeted Locus/Loci,Sequencing,NA,"Raw Sequence Reads,",2015/03/23 00:00,biofilm metagenome,Drinking water distribution system biofilm samples Metagenome,This project reveals the community structure and composition of biofilms from an urban drinking water distribution system across two years.,NA,NA,NA,NA,yes,NA,NA,NA,biofilm metagenome,NA,NA,SRA/Trace,UIUC,UIUC,Other
279151,1169740,279151,PRJNA279151,Primary submission,Raw sequence reads,265837,95583,11836,NA,Environment,Genome,Targeted Locus/Loci,Sequencing,NA,"Raw Sequence Reads,",2015/03/23 00:00,aquatic metagenome,Biofilm and bulk water Raw sequence reads,"In this study, we report the analysis of biofilm and bulk water samples collected from a laboratory scale PVC pipe loop system, over a 6 week period. The pipe loop system was initially inoculated with a natural microbial biofilm consortium from the municipal drinking water distribution system in Pinellas County, FL, USA.",NA,NA,NA,NA,yes,NA,NA,NA,aquatic metagenome,NA,NA,SRA/Trace,Loyola Universtity Chicago,Loyola Universtity Chicago,Other
278790,449393,278790,PRJNA278790,Primary submission,Metagenome,266174,268554,83784,NA,Environment,Genome,Whole,Sequencing,NA,"Raw Sequence Reads,",2015/03/18 00:00,freshwater metagenome,Drinking water distribution system water sample Raw sequence reads,This is a 2-year long study of the suspended communities in a drinking water distribution system examining the influence of seasonal and disinfectant shifts on the microbial communities,NA,NA,NA,NA,yes,NA,NA,NA,freshwater metagenome,NA,NA,SRA/Trace,UIUC,UIUC,Other
272960,449393,272960,PRJNA272960,Primary submission,Genome sequencing,271264,273302,83796,NA,Environment,Genome,Whole,Sequencing,NA,"Raw Sequence Reads,",2015/01/20 00:00,freshwater metagenome,Water microrganism Genome sequencing,Effect of disinfection processes on bacterial communities in a real drinking water distribution system,NA,NA,NA,NA,yes,NA,NA,NA,freshwater metagenome,NA,NA,SRA/Trace,ZJU_Ocean college,ZJU_Ocean college,Other
271665,449393,271665,PRJDB3029,Primary submission,Other,272411,274387,83801,NA,Environment,Genome,Other,Sequencing,NA,"Raw Sequence Reads,",2015/01/05 00:00,freshwater metagenome,PAB-DWDS,Particle associated bacteria in drinking water distribution system,NA,NA,NA,NA,yes,NA,NA,NA,freshwater metagenome,NA,NA,SRA/Trace,Technology University of Delft,Technology University of Delft,Other
269925,10090,269925,PRJNA269925,Primary submission,Epigenomics,273944,275837,198295,NA,Multiisolate,Genome,Whole,Sequencing,NA,"Epigenetic Markers,",2014/12/10 00:00,Mus musculus,The epigenetic processes of meiosis in male mice are broadly affected by the widely used herbicide atrazine [ChIP-Seq],"Environmental factors such as pesticides are widely used in the agriculture of many countries and their negative impact on human health and fertility are largely unknown. There is a rapidly growing body of evidence that human reproductive health is negatively affected by various environmental factors, including life style and exposure to chemical compounds such as certain drugs and pesticides. Sexually reproducing organisms produce haploid gametes via a process called meiosis. Meiosis is dependent on androgen action within the testis. Pesticides and herbicides interfere with natural hormones system and are considered to be endocrine disruptors. We hypothesize that atrazine (ATZ), a herbicide used globally, adversely affects meiosis. To test this idea we used the mouse as a model organism.  Mice were treated for a three weeks with atrazine at a concentration of 100 mg/l in drinking water nearly corresponding to 25mg/kg/day. To access the extent of the toxic effect of atrazine on the epigenetic modifications on genome wide level we performed Chromatin immunoprecipitation (ChIP) using antibody against H3K4me3 followed by high throughput sequencing. Analysis of H3K4me3 marks revealed that 823 genomic loci were affected.  H3K4me3 marks are increased occupancy in highly overexpressed Speer and Trim45 genes and decreased in Entd4, Slc25a37 and LoxL2 genes. Changes in H3K4me3 occupancy in these genes may reflect answers to DNA damages in ATZ treated testis tissue. Eighty seven of differential H3K4me3 peaks are associated with meiosis specific Double Strand  Breaks (DSB) sites, showing that ATZ treatment affect DSBs repair in meiosis. Together, our data demonstrate the negative effect of atrazine on meiosis in mice. Overall design: Genome wide analyze H3K4me3 marks distribution in testes tissue from ATZ treated animals and control.",NA,NA,NA,NA,NA,NA,Yes,NA,Mus musculus,NA,NA,SRA/Trace,Université de Rennes 1,Université de Rennes 1,Eukaryotes
260018,NA,260018,PRJEB5696,Primary submission,Other,282568,283962,395932,NA,Monoisolate,Other,Other,Sequencing,NA,"Other, Unspecified Objective",2014/09/01 00:00,Drinking water nitrification,Responses of nitrifying populations and microbial communities to chlorine burn in a chloraminated drinking water distribution system,"Short-term switching to chlorine disinfection (i.e., “chlorine burn”) is a common approach to controlling nitrification in chloraminated drinking water distribution systems, yet its effectiveness and mode(s) of action have not been fully investigated. This study characterized occurrence of nitrifying populations and profiled microbial community compositions before, during and after a chlorine burn at 46 sites in a chloraminated distribution system with varying pipe materials and levels of observed nitrification.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SRA/Trace,VT,VT,NA
253081,718308,253081,PRJNA253081,Primary submission,Targeted Locus (Loci),288426,97068,27411,NA,Environment,Genome,Targeted Locus/Loci,Sequencing,NA,"Raw Sequence Reads,",2014/06/19 00:00,biofilm metagenome,Drinking Water Distribution System Biofilms Targeted Locus (Loci),To study the impact of different drinking water treatments on biofilms inside drinking water distribution systems.,NA,NA,NA,yes,NA,NA,NA,NA,biofilm metagenome,NA,NA,SRA/Trace,University of Adelaide,University of Adelaide,Other
248184,449393,248184,PRJDB2296,Primary submission,Other,292915,293893,83852,NA,Other,Other,Other,Sequencing,NA,"Raw Sequence Reads,",2014/05/19 00:00,freshwater metagenome,Microbiology of drinking water distribution system,"Bacterial community of bulk water, suspended solids bacteria, loose deposits bacteria and biofilm bacteria are sampled from drinking water distribution systems, and analyzed by 454 pyrosequencing. The samples were taken at three locations in distribution system, four phases of water, suspended solids, loose deposits and biofilm were taken together.",NA,NA,NA,NA,NA,NA,NA,NA,freshwater metagenome,NA,NA,SRA/Trace,"Sanitary Engineering, Water Management, Technology University of Delft","Sanitary Engineering, Water Management, Technology University of Delft",Other
241433,1169740,241433,PRJNA241433,Primary submission,Targeted Locus (Loci),299052,97534,11912,NA,Environment,Genome,Targeted Locus/Loci,Sequencing,NA,"Raw Sequence Reads,",2014/03/17 00:00,aquatic metagenome,Flushing drinking water distribution systems Targeted Locus (Loci),This study investigates the influence of pipe characteristics on the bacteriological composition of material mobilised from a drinking water distribution system (DWDS) and the impact of biofilm removal on water quality.,NA,NA,NA,NA,yes,NA,NA,NA,aquatic metagenome,NA,NA,SRA/Trace,The University of Sheffield,The University of Sheffield,Other
210730,718308,210730,PRJNA210730,Primary submission,Targeted Locus (Loci),323996,98473,27446,NA,Environment,Genome,Targeted Locus/Loci,Sequencing,NA,"Raw Sequence Reads,",2013/07/08 00:00,biofilm metagenome,Drinking water Targeted Locus (Loci),"The main objective of this work was to provide a systematic investigation of the microbial composition of biofilms in drinking water distribution systems with different source water histories, and discuss the correlation between the water quality and bacterial community structure.  The biofilm samples were excavated from seven different drinking water distribution system sites in a northern city of China.",NA,NA,NA,NA,yes,NA,NA,NA,biofilm metagenome,NA,NA,SRA/Trace,The Majorbio,The Majorbio,Other
178127,1169740,178127,PRJNA178127,Primary submission,Targeted Locus (Loci),343195,99227,11998,NA,Environment,Genome,Targeted Locus/Loci,Sequencing,NA,"Raw Sequence Reads,",2012/10/22 00:00,aquatic metagenome,Drinking water distribution system Targeted Locus (Loci),"We used 454 pyrosequencing of the 16S rRNA gene to investigate the influence of different hydrological regimes on bacterial community structure (biofilms and bulk water) and to study the potential mobilisation of material from the pipe walls to the network using a full scale, temperature controlled experimental pipeline facility representative of live drinking water distribution systems.",NA,NA,NA,NA,yes,NA,NA,NA,aquatic metagenome,NA,NA,SRA/Trace,The University of Sheffield,The University of Sheffield,Other
